,c,mae_train,mae_val,nu
0,0.0001,0.9347634836242682,0.9163503005972,0.1
1,0.0001,0.9055962460456792,0.9018391077027508,0.3
2,0.0001,0.8713553627080949,0.8704998547156149,0.5
3,0.0001,0.8243265097759571,0.822280454730054,0.7
4,0.0001,0.808645840781089,0.8041460141240011,0.9
5,0.001,0.8613565548963189,0.857105831540045,0.1
6,0.001,0.7272450365992463,0.7700509822260466,0.3
7,0.001,0.6180403408008636,0.7072862800235192,0.5
8,0.001,0.5457275048994878,0.6863759268544778,0.7
9,0.001,0.49913611021364335,0.6808461342444962,0.9
10,0.01,0.6153952847822518,0.7237109697738638,0.1
11,0.01,0.28141622218069506,0.6844337820049633,0.3
12,0.01,0.10553669249194422,0.6879419543101972,0.5
13,0.01,0.10544601884738844,0.6879468513243648,0.7
14,0.01,0.10539914436965583,0.6879509536786124,0.9
15,0.1,0.00047021602222583096,0.7365127770752566,0.1
16,0.1,0.00036801252631132907,0.7365296096968169,0.3
17,0.1,0.0003527931041354428,0.7365361101439101,0.5
18,0.1,0.00033021301615344256,0.7365404727933743,0.7
19,0.1,0.000311240281682351,0.736542074578857,0.9
20,1.0,0.0002784226625065289,0.7368543198163475,0.1
21,1.0,0.00027653682227214043,0.7368535819054509,0.3
22,1.0,0.00026398037164632095,0.7368560740442213,0.5
23,1.0,0.0002437014281866561,0.7368604975554596,0.7
24,1.0,0.0002214492196066408,0.7368620384447607,0.9
25,10.0,0.0002759249662025978,0.7368543311623731,0.1
26,10.0,0.0002817968189803866,0.7368514578498833,0.3
27,10.0,0.00026398037241361365,0.7368560740445906,0.5
28,10.0,0.00024261375538110655,0.7368597398878441,0.7
29,10.0,0.00022098109326458787,0.7368626962932958,0.9
30,100.0,0.0002770257900938392,0.7368536269792645,0.1
31,100.0,0.00027463153975646273,0.7368534269879519,0.3
32,100.0,0.00026374250097512095,0.736856590375617,0.5
33,100.0,0.00024493718138157705,0.7368616621332853,0.7
34,100.0,0.00022005668439312507,0.7368622716815758,0.9
