,c,mae_train,mae_val,nu
0,0.0001,0.85656233902487,0.8393386306103688,0.1
1,0.0001,0.728129597072315,0.7231815261697543,0.3
2,0.0001,0.6609031772280909,0.6644747849416128,0.5
3,0.0001,0.6343231007810326,0.6476531323650707,0.7
4,0.0001,0.6196920794413134,0.6431356945853206,0.9
5,0.001,0.6842414301469939,0.6914893571527169,0.1
6,0.001,0.5576498181844216,0.6258443908467984,0.3
7,0.001,0.49108645032733755,0.6147689603465007,0.5
8,0.001,0.434749616936017,0.6129835862341795,0.7
9,0.001,0.40144757731762115,0.6147873780564178,0.9
10,0.01,0.5247568425804491,0.685108943260395,0.1
11,0.01,0.2674869836694148,0.7059070516058379,0.3
12,0.01,0.10389405995089554,0.7245725548572429,0.5
13,0.01,0.1038098931174571,0.7245847083837117,0.7
14,0.01,0.10380602230092406,0.7245889491613817,0.9
15,0.1,0.000915141173917117,0.8752221703405814,0.1
16,0.1,0.0007307172839196775,0.875303600181516,0.3
17,0.1,0.0006627486643203344,0.8753361064632834,0.5
18,0.1,0.0006613822192847466,0.8753314974853315,0.7
19,0.1,0.0006852599090120941,0.8753251689006891,0.9
20,1.0,0.00032725259372787393,0.880016776510105,0.1
21,1.0,0.000242429648573632,0.8800595829461397,0.3
22,1.0,0.00019079073726026936,0.8800855402833729,0.5
23,1.0,0.00018927469563986474,0.8800753703374586,0.7
24,1.0,0.00022255585330980586,0.8800630627201034,0.9
25,10.0,0.0003357264297517159,0.8800176643700338,0.1
26,10.0,0.00024454639602212026,0.8800552646568642,0.3
27,10.0,0.00019558166081796405,0.8800867690232016,0.5
28,10.0,0.00019505284243133373,0.8800742899273841,0.7
29,10.0,0.00022344636413589524,0.8800642924268856,0.9
30,100.0,0.0003324800199894729,0.8800151397251563,0.1
31,100.0,0.00024144569627543956,0.8800589522793548,0.3
32,100.0,0.0001961408083428804,0.8800807175761673,0.5
33,100.0,0.0001940803343632761,0.8800731258285959,0.7
34,100.0,0.0002222186797795826,0.8800654987582079,0.9
